Flight Number: AI101 | Airline: Air India | Aircraft Type: Boeing 747 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Delhi | Arrival Airport: DEL | Seat Capacity: 400 | Departure Time: 09:00 AM | Arrival Time: 11:30 AM
Flight Number: 6E202 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kolkata | Arrival Airport: CCU | Seat Capacity: 180 | Departure Time: 07:30 AM | Arrival Time: 10:00 AM
Flight Number: AI303 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Bangalore | Arrival Airport: BLR | Seat Capacity: 160 | Departure Time: 10:45 AM | Arrival Time: 01:30 PM
Flight Number: SG404 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Jaipur | Arrival Airport: JAI | Seat Capacity: 170 | Departure Time: 03:15 PM | Arrival Time: 05:30 PM
Flight Number: 9W505 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Hyderabad | Arrival Airport: HYD | Seat Capacity: 250 | Departure Time: 06:30 AM | Arrival Time: 08:45 AM
Flight Number: AI606 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Chennai | Arrival Airport: MAA | Seat Capacity: 160 | Departure Time: 12:00 PM | Arrival Time: 02:30 PM
Flight Number: 6E707 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Coimbatore | Arrival Airport: CJB | Seat Capacity: 180 | Departure Time: 04:45 PM | Arrival Time: 07:15 PM
Flight Number: SG808 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Goa | Arrival Airport: GOI | Seat Capacity: 170 | Departure Time: 07:30 AM | Arrival Time: 09:15 AM
Flight Number: 9W909 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kolkata | Arrival Airport: CCU | Seat Capacity: 250 | Departure Time: 02:45 PM | Arrival Time: 05:15 PM
Flight Number: AI1010 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kochi | Arrival Airport: COK | Seat Capacity: 160 | Departure Time: 05:30 PM | Arrival Time: 08:00 PM
Flight Number: 6E1111 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Jaipur | Arrival Airport: JAI | Seat Capacity: 180 | Departure Time: 08:45 AM | Arrival Time: 11:15 AM
